2012-01-09 22:25:18 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 12:22:51 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'fblike' cannot be null</span> in [CORE/cake/libs/model/datasources/dbo_source.php, line 527]
2012-01-10 12:24:37 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/kunleekunkonye/Documents/webcomm/MAMP/calendar/cake/basics.php:109) in [CORE/cake/libs/controller/controller.php, line 647]
2012-01-10 20:44:06 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:44:06 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 20:44:13 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:44:13 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 20:44:29 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:44:29 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 20:44:57 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:44:57 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 20:45:22 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:45:22 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 20:45:49 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:45:49 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 20:45:55 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 20:45:55 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:28:10 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:28:10 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:28:53 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:28:53 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:37:22 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:37:22 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:37:29 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:37:29 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:37:37 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:37:37 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:37:44 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:37:44 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:37:59 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:37:59 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:38:10 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:38:10 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:38:16 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:38:16 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:38:22 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-10 21:38:22 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-10 21:38:30 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
